_id,_labels,Ensembl,diseaseID,drugID,gene_count,id,name,ncbiID,source,subcellular_loc,_start,_end,_type,score,source.1,type,atcClassification,class,uniprotID
20228,:Disease,,C0268561,,,C0268561,"Hyperglycinemia, Nonketotic, Type I",,DisGeNET,,,,,,,,,,
20229,:Disease,,C0268562,,,C0268562,"Hyperglycinemia, Nonketotic, Type II",,DisGeNET,,,,,,,,,,
20230,:Disease,,C0751747,,,C0751747,"Hyperglycinemia, Nonketotic, Type III",,DisGeNET,,,,,,,,,,
20238,:Protein,ENSG00000130513,,,,ENSG00000130513,GDF15,9518,BridgeDB,,,,,,,,,,
20239,:Disease,,C0002896,,,C0002896,Sideroblastic anemia,,DisGeNET,,,,,,,,,,
20240,:Disease,,C0017185,,,C0017185,Gastrointestinal Neoplasms,,DisGeNET,,,,,,,,,,
20241,:Disease,,C0685938,,,C0685938,Malignant neoplasm of gastrointestinal tract,,DisGeNET,,,,,,,,,,
20247,:Protein,ENSG00000156466,,,,ENSG00000156466,GDF6,392255,BridgeDB,,,,,,,,,,
20248,:Disease,,C1861689,,,C1861689,"KLIPPEL-FEIL SYNDROME, AUTOSOMAL DOMINANT",,DisGeNET,,,,,,,,,,
20249,:Disease,,C2751307,,,C2751307,"MICROPHTHALMIA, ISOLATED 4 (disorder)",,DisGeNET,,,,,,,,,,
20250,:Disease,,C3150968,,,C3150968,"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6",,DisGeNET,,,,,,,,,,
20251,:Disease,,C0022738,,,C0022738,Klippel-Feil Syndrome,,DisGeNET,,,,,,,,,,
20252,:Disease,,C4693531,,,C4693531,MULTIPLE SYNOSTOSES SYNDROME 4,,DisGeNET,,,,,,,,,,
20253,:Disease,,C2931501,,,C2931501,Microphthalmia associated with colobomatous cyst,,DisGeNET,,,,,,,,,,
20254,:Disease,,C3715164,,,C3715164,LEBER CONGENITAL AMAUROSIS 17,,DisGeNET,,,,,,,,,,
20255,:Disease,,C0344490,,,C0344490,Sacral agenesis,,DisGeNET,,,,,,,,,,
20259,:Protein,ENSG00000164404,,,,ENSG00000164404,GDF9,2661,BridgeDB,,,,,,,,,,
20260,:Disease,,C4693941,,,C4693941,PREMATURE OVARIAN FAILURE 14,,DisGeNET,,,,,,,,,,
20261,:Disease,,C0085215,,,C0085215,"Ovarian Failure, Premature",,DisGeNET,,,,,,,,,,
20265,:Protein,ENSG00000164949,,,,ENSG00000164949,GEM,2669,BridgeDB,,,,,,,,,,
20267,:Protein,ENSG00000131459,,,,ENSG00000131459,GFPT2,9945,BridgeDB,,,,,,,,,,
20276,:Protein,ENSG00000131067,,,,ENSG00000131067,GGT7,2686,BridgeDB,,,,,,,,,,
20285,:Protein,ENSG00000281189,,,,ENSG00000281189,GHET1,102723099,BridgeDB,,,,,,,,,,
20286,:Protein,ENSG00000121853,,,,ENSG00000121853,GHSR,2693,BridgeDB,,,,,,,,,,
20287,:Disease,,C1858656,,,C1858656,"Short Stature, Idiopathic, Autosomal",,DisGeNET,,,,,,,,,,
20288,:Disease,,C0012243,,,C0012243,Digestive System Neoplasms,,DisGeNET,,,,,,,,,,
20289,:Disease,,C0751075,,,C0751075,Cancer of Digestive System,,DisGeNET,,,,,,,,,,
20317,:Drug,,,DB12128,,CHEMBL1963249,ULIMORELIN,,OpenTargets,,,,,,,,Drug,,
20320,:Drug,,,DB06645,,CHEMBL2110579,ANAMORELIN,,OpenTargets,,,,,,,,Drug,,
20324,:Drug,,,DB14870,,CHEMBL3287218,PF-5190457,,OpenTargets,,,,,,,,Drug,,
20326,:Drug,,,DB13074,,CHEMBL278623,MACIMORELIN,,OpenTargets,,,,,,,,"V04CD06,V04CD,V04C,V04,V,Drug",,
20327,:Drug,,,DB15205,,CHEMBL113313,CAPROMORELIN,,OpenTargets,,,,,,,,Drug,,
20328,:Protein,ENSG00000131153,,,,ENSG00000131153,GINS2,51659,BridgeDB,,,,,,,,,,
20334,:Protein,ENSG00000147536,,,,ENSG00000147536,GINS4,84296,BridgeDB,,,,,,,,,,
20338,:Protein,ENSG00000010310,,,,ENSG00000010310,GIPR,2696,BridgeDB,,,,,,,,,,
20339,:Disease,,C0005910,,,C0005910,Body Weight,,DisGeNET,,,,,,,,,,
20348,:Protein,ENSG00000165113,,,,ENSG00000165113,GKAP1,80318,BridgeDB,,,,,,,,,,
20353,:Protein,ENSG00000163521,,,,ENSG00000163521,GLB1L,79411,BridgeDB,,,,,,,,,,
20357,:Protein,ENSG00000149328,,,,ENSG00000149328,GLB1L2,89944,BridgeDB,,,,,,,,,,
20358,:Protein,ENSG00000166105,,,,ENSG00000166105,GLB1L3,112937,BridgeDB,,,,,,,,,,
20359,:Protein,ENSG00000106571,,,,ENSG00000106571,GLI3,2737,BridgeDB,,,,,,,,,,
