,dbID,atcClassification,id
0,DB00001,"B01AE02,B01AE,B01A,B01,B,Drug",CHEMBL1201666
1,DB00002,"L01FE01,L01FE,L01F,L01,L,Drug",CHEMBL1201577
2,DB00003,"R05CB13,R05CB,R05C,R05,R,Drug",CHEMBL1201431
3,DB00004,"L01XX29,L01XX,L01X,L01,L,Drug",CHEMBL1201550
4,DB00005,"L04AB01,L04AB,L04A,L04,L,Drug",CHEMBL1201572
5,DB00006,"B01AE06,B01AE,B01A,B01,B,Drug",CHEMBL2103749
6,DB00007,"L02AE51,L02AE,L02A,L02,L,Drug;L02AE02,L02AE,L02A,L02,L,Drug",CHEMBL1201199
7,DB00008,"L03AB11,L03AB,L03A,L03,L,Drug;L03AB61,L03AB,L03A,L03,L,Drug",CHEMBL1201560
8,DB00009,"B01AD02,B01AD,B01A,B01,B,Drug;S01XA13,S01XA,S01X,S01,S,Drug",CHEMBL1201593
9,DB00010,"V04CD03,V04CD,V04C,V04,V,Drug;H01AC04,H01AC,H01A,H01,H,Drug",
10,DB00011,"L03AB06,L03AB,L03A,L03,L,Drug",CHEMBL2108509
11,DB00012,"B03XA02,B03XA,B03X,B03,B,Drug",CHEMBL1201566
12,DB00013,"B01AD04,B01AD,B01A,B01,B,Drug",CHEMBL1201420
13,DB00014,"L02AE03,L02AE,L02A,L02,L,Drug",CHEMBL1201247
14,DB00015,"B01AD07,B01AD,B01A,B01,B,Drug",CHEMBL2107885
15,DB00016,"B03XA01,B03XA,B03X,B03,B,Drug",CHEMBL1201565
16,DB00017,"H05BA01,H05BA,H05B,H05,H,Drug",
17,DB00018,Drug,CHEMBL2109047
18,DB00019,"L03AA13,L03AA,L03A,L03,L,Drug",CHEMBL1201568
19,DB00020,"L03AA09,L03AA,L03A,L03,L,Drug",CHEMBL1201670
20,DB00022,"L03AB10,L03AB,L03A,L03,L,Drug;L03AB60,L03AB,L03A,L03,L,Drug",CHEMBL1201561
21,DB00023,"L01XX02,L01XX,L01X,L01,L,Drug",CHEMBL2108989
22,DB00024,"H01AB01,H01AB,H01A,H01,H,Drug",CHEMBL1201533
23,DB00025,"B02BD02,B02BD,B02B,B02,B,Drug",CHEMBL2108175
24,DB00026,"L04AC03,L04AC,L04A,L04,L,Drug",CHEMBL1201570
25,DB00027,"R02AB30,R02AB,R02A,R02,R,Drug",CHEMBL557217
26,DB00028,Drug,
27,DB00029,"B01AD03,B01AD,B01A,B01,B,Drug",CHEMBL2108250
28,DB00030,"A10AC01,A10AC,A10A,A10,A,Drug;A10AE01,A10AE,A10A,A10,A,Drug;A10AB01,A10AB,A10A,A10,A,Drug;A10AD01,A10AD,A10A,A10,A,Drug;A10AF01,A10AF,A10A,A10,A,Drug",
29,DB00031,"B01AD11,B01AD,B01A,B01,B,Drug",CHEMBL2108791
30,DB00032,"G03GA02,G03GA,G03G,G03,G,Drug;G03GA03,G03GA,G03G,G03,G,Drug",CHEMBL2108427
31,DB00033,Drug,CHEMBL1201564
32,DB00034,"L03AB04,L03AB,L03A,L03,L,Drug",
33,DB00035,"H01BA02,H01BA,H01B,H01,H,Drug",CHEMBL1429
34,DB00036,"B02BD08,B02BD,B02B,B02,B,Drug",
35,DB00038,"L03AC02,L03AC,L03A,L03,L,Drug",CHEMBL1201573
36,DB00039,"V03AF08,V03AF,V03A,V03,V,Drug",CHEMBL1201821
37,DB00040,"H04AA01,H04AA,H04A,H04,H,Drug",CHEMBL266481
38,DB00041,"L03AC01,L03AC,L03A,L03,L,Drug",CHEMBL1201438
39,DB00042,"M03AX01,M03AX,M03A,M03,M,Drug",CHEMBL1201569
40,DB00043,"R03DX05,R03DX,R03D,R03,R,Drug",CHEMBL1201589
41,DB00044,"G03GA07,G03GA,G03G,G03,G,Drug",CHEMBL1201419
42,DB00045,Drug,
43,DB00046,"A10AC04,A10AC,A10A,A10,A,Drug;A10AB04,A10AB,A10A,A10,A,Drug;A10AD04,A10AD,A10A,A10,A,Drug",CHEMBL1201538
44,DB00047,"A10AE54,A10AE,A10A,A10,A,Drug;A10AE04,A10AE,A10A,A10,A,Drug",CHEMBL1201497
45,DB00048,"D03BA02,D03BA,D03B,D03,D,Drug;M09AB02,M09AB,M09A,M09,M,Drug;D03BA52,D03BA,D03B,D03,D,Drug",
46,DB00049,"V03AF07,V03AF,V03A,V03,V,Drug;M04AX01,M04AX,M04A,M04,M,Drug",CHEMBL1201594
47,DB00050,"H01CC02,H01CC,H01C,H01,H,Drug",CHEMBL1200490
48,DB00051,"L04AB04,L04AB,L04A,L04,L,Drug",CHEMBL1201580
49,DB00052,"H01AC01,H01AC,H01A,H01,H,Drug",CHEMBL1201621
50,DB00053,"A16AB02,A16AB,A16A,A16,A,Drug",CHEMBL1201632
51,DB00054,"B01AC13,B01AC,B01A,B01,B,Drug",CHEMBL1201584
52,DB00055,"B01AD10,B01AD,B01A,B01,B,Drug",
53,DB00056,"L01FX02,L01FX,L01F,L01,L,Drug",CHEMBL1201506
54,DB00057,"V09IB02,V09IB,V09I,V09,V,Drug",CHEMBL1743091
55,DB00058,"B02AB02,B02AB,B02A,B02,B,Drug",
56,DB00059,"L01XX24,L01XX,L01X,L01,L,Drug",CHEMBL2108546
57,DB00060,"L03AB07,L03AB,L03A,L03,L,Drug",CHEMBL1201562
58,DB00061,"L03AX04,L03AX,L03A,L03,L,Drug",CHEMBL1201514
59,DB00062,"B05AA01,B05AA,B05A,B05,B,Drug",CHEMBL1201451
60,DB00063,"B01AC16,B01AC,B01A,B01,B,Drug",CHEMBL1174
61,DB00065,"L04AB02,L04AB,L04A,L04,L,Drug",CHEMBL1201581
62,DB00066,"G03GA06,G03GA,G03G,G03,G,Drug;G03GA10,G03GA,G03G,G03,G,Drug;G03GA05,G03GA,G03G,G03,G,Drug",CHEMBL1201692
63,DB00067,Drug,CHEMBL373742
64,DB00068,"L03AB08,L03AB,L03A,L03,L,Drug",CHEMBL1201563
65,DB00069,"L03AB09,L03AB,L03A,L03,L,Drug",CHEMBL1201557
66,DB00070,Drug,CHEMBL1201636
67,DB00071,"A10AC03,A10AC,A10A,A10,A,Drug;A10AB03,A10AB,A10A,A10,A,Drug;A10AE03,A10AE,A10A,A10,A,Drug;A10AD03,A10AD,A10A,A10,A,Drug",
68,DB00072,"L01FD01,L01FD,L01F,L01,L,Drug;L01XY02,L01XY,L01X,L01,L,Drug",CHEMBL1201585
69,DB00073,"L01FA01,L01FA,L01F,L01,L,Drug",CHEMBL1201576
70,DB00074,"L04AC02,L04AC,L04A,L04,L,Drug",CHEMBL1201439
71,DB00075,"L04AA02,L04AA,L04A,L04,L,Drug",CHEMBL1201608
72,DB00076,"V03AB24,V03AB,V03A,V03,V,Drug",
73,DB00078,"V10XX02,V10XX,V10X,V10,V,Drug",
74,DB00080,"J01XX09,J01XX,J01X,J01,J,Drug",CHEMBL4744444
75,DB00081,"V10XA53,V10XA,V10X,V10,V,Drug",CHEMBL1201604
76,DB00082,"H01AX01,H01AX,H01A,H01,H,Drug",CHEMBL1201515
77,DB00083,"M03AX01,M03AX,M03A,M03,M,Drug",
78,DB00085,"A09AA02,A09AA,A09A,A09,A,Drug",CHEMBL2108074
79,DB00086,"B01AD01,B01AD,B01A,B01,B,Drug;B06AA55,B06AA,B06A,B06,B,Drug",CHEMBL2108147
80,DB00087,"L04AA34,L04AA,L04A,L04,L,Drug",CHEMBL1201587
81,DB00088,"A16AB01,A16AB,A16A,A16,A,Drug",CHEMBL1201633
82,DB00089,"V09IB04,V09IB,V09I,V09,V,Drug",CHEMBL2108285
83,DB00090,"A16AB05,A16AB,A16A,A16,A,Drug",CHEMBL1201595
84,DB00091,"L04AD01,L04AD,L04A,L04,L,Drug;S01XA18,S01XA,S01X,S01,S,Drug",CHEMBL160
85,DB00092,"L04AA15,L04AA,L04A,L04,L,Drug",CHEMBL1201571
86,DB00093,Drug,CHEMBL3185126
87,DB00094,"G03GA04,G03GA,G03G,G03,G,Drug",CHEMBL1201520
88,DB00095,"L04AA21,L04AA,L04A,L04,L,Drug",CHEMBL1201575
89,DB00097,"G03GA08,G03GA,G03G,G03,G,Drug",CHEMBL1201464
90,DB00098,"L04AA04,L04AA,L04A,L04,L,Drug",
91,DB00099,"L03AA02,L03AA,L03A,L03,L,Drug",CHEMBL1201567
92,DB00100,Drug,
93,DB00102,"D03AX06,D03AX,D03A,D03,D,Drug;A01AD08,A01AD,A01A,A01,A,Drug",CHEMBL1201556
94,DB00103,"A16AB04,A16AB,A16A,A16,A,Drug",CHEMBL2108888
95,DB00104,"H01CB02,H01CB,H01C,H01,H,Drug",CHEMBL1680
96,DB00105,"L03AB05,L03AB,L03A,L03,L,Drug",
97,DB00106,"L02BX01,L02BX,L02B,L02,L,Drug",CHEMBL1252
98,DB00107,"G02AC01,G02AC,G02A,G02,G,Drug;H01BB02,H01BB,H01B,H01,H,Drug",CHEMBL395429
99,DB00108,"L04AA23,L04AA,L04A,L04,L,Drug",CHEMBL1201607
100,DB00109,"J05AX07,J05AX,J05A,J05,J,Drug",CHEMBL525076
101,DB00110,"J06BD01,J06BD,J06B,J06,J,Drug",CHEMBL1201586
102,DB00111,"L04AC01,L04AC,L04A,L04,L,Drug",CHEMBL1201605
103,DB00112,"L01FG01,L01FG,L01F,L01,L,Drug;S01LA08,S01LA,S01L,S01,S,Drug",CHEMBL1201583
104,DB00113,"V09IA06,V09IA,V09I,V09,V,Drug",CHEMBL2108253
105,DB00114,"A11HA06,A11HA,A11H,A11,A,Drug",CHEMBL82202
106,DB00115,"B03BA01,B03BA,B03B,B03,B,Drug;B03AE01,B03AE,B03A,B03,B,Drug;B03BA51,B03BA,B03B,B03,B,Drug",CHEMBL2110563
107,DB00116,Drug,CHEMBL2021342
108,DB00117,Drug,CHEMBL17962
109,DB00118,"A16AA02,A16AA,A16A,A16,A,Drug",CHEMBL1088977
110,DB00119,Drug,CHEMBL1162144
111,DB00120,Drug,CHEMBL301523
112,DB00121,"A11HA05,A11HA,A11H,A11,A,Drug",CHEMBL857
113,DB00122,Drug,CHEMBL920
114,DB00123,"V03AF11,V03AF,V03A,V03,V,Drug;B05XB03,B05XB,B05X,B05,B,Drug",CHEMBL8085
115,DB00125,"V03AF11,V03AF,V03A,V03,V,Drug;B05XB01,B05XB,B05X,B05,B,Drug",CHEMBL1485
116,DB00126,"G01AD03,G01AD,G01A,G01,G,Drug;A11GA01,A11GA,A11G,A11,A,Drug;A11GB01,A11GB,A11G,A11,A,Drug;S01XA15,S01XA,S01X,S01,S,Drug",CHEMBL196
117,DB00127,Drug,CHEMBL23194
118,DB00128,Drug,CHEMBL274323
119,DB00129,"A05BA06,A05BA,A05B,A05,A,Drug",CHEMBL446143
120,DB00130,"A16AA03,A16AA,A16A,A16,A,Drug",CHEMBL930
121,DB00131,Drug,CHEMBL752
122,DB00132,Drug,CHEMBL8739
123,DB00133,Drug,CHEMBL11298
124,DB00134,"V03AB26,V03AB,V03A,V03,V,Drug",CHEMBL42336
125,DB00135,Drug,CHEMBL925
126,DB00136,"D05AX03,D05AX,D05A,D05,D,Drug;A11CC04,A11CC,A11C,A11,A,Drug",CHEMBL846
127,DB00137,Drug,CHEMBL173929
128,DB00138,Drug,CHEMBL590540
129,DB00139,Drug,CHEMBL576
130,DB00140,"A11HA04,A11HA,A11H,A11,A,Drug;S01XA26,S01XA,S01X,S01,S,Drug",CHEMBL1534
131,DB00141,Drug,CHEMBL4303483
132,DB00142,"A09AB01,A09AB,A09A,A09,A,Drug",CHEMBL575060
133,DB00143,"V03AB32,V03AB,V03A,V03,V,Drug",CHEMBL1543
134,DB00144,Drug,CHEMBL4297669
135,DB00145,"B05CX03,B05CX,B05C,B05,B,Drug",CHEMBL773
136,DB00146,"A11CC06,A11CC,A11C,A11,A,Drug;H05BX05,H05BX,H05B,H05,H,Drug",CHEMBL1040
137,DB00147,Drug,CHEMBL102970
138,DB00148,Drug,CHEMBL283800
139,DB00149,Drug,CHEMBL291962
140,DB00150,"N06AX02,N06AX,N06A,N06,N,Drug",CHEMBL54976
141,DB00151,Drug,CHEMBL863
142,DB00152,"A11DA01,A11DA,A11D,A11,A,Drug",CHEMBL1547
143,DB00153,"A11CC01,A11CC,A11C,A11,A,Drug",CHEMBL1536
144,DB00154,Drug,CHEMBL465183
145,DB00155,Drug,CHEMBL444814
146,DB00156,Drug,CHEMBL291747
147,DB00157,Drug,CHEMBL1234616
148,DB00158,"B03AE02,B03AE,B03A,B03,B,Drug;V04CX02,V04CX,V04C,V04,V,Drug;B03BB01,B03BB,B03B,B03,B,Drug;B03AE01,B03AE,B03A,B03,B,Drug;B03BB51,B03BB,B03B,B03,B,Drug",CHEMBL1622
149,DB00159,Drug,CHEMBL460026
150,DB00160,Drug,CHEMBL279597
151,DB00161,Drug,CHEMBL43068
152,DB00162,"S01XA02,S01XA,S01X,S01,S,Drug;V04CB01,V04CB,V04C,V04,V,Drug;D10AD02,D10AD,D10A,D10,D,Drug;R01AX02,R01AX,R01A,R01,R,Drug;A11CA01,A11CA,A11C,A11,A,Drug",CHEMBL986
153,DB00163,Drug,CHEMBL47
154,DB00165,"J04AM08,J04AM,J04A,J04,J,Drug;A11HA02,A11HA,A11H,A11,A,Drug",CHEMBL1364
155,DB00166,"A16AX01,A16AX,A16A,A16,A,Drug",CHEMBL134342
156,DB00167,Drug,CHEMBL1233584
157,DB00168,Drug,CHEMBL171679
158,DB00169,"M05BB09,M05BB,M05B,M05,M,Drug;M05BX53,M05BX,M05B,M05,M,Drug;M05BB07,M05BB,M05B,M05,M,Drug;M05BB08,M05BB,M05B,M05,M,Drug;A11CC55,A11CC,A11C,A11,A,Drug;M05BB05,M05BB,M05B,M05,M,Drug;A11CC05,A11CC,A11C,A11,A,Drug;M05BB03,M05BB,M05B,M05,M,Drug;M05BB04,M05BB,M05B,M05,M,Drug",CHEMBL1042
159,DB00170,"B02BA02,B02BA,B02B,B02,B,Drug",CHEMBL590
160,DB00171,Drug,CHEMBL14249
161,DB00172,Drug,CHEMBL54922
162,DB00173,Drug,CHEMBL226345
163,DB00174,Drug,CHEMBL58832
164,DB00175,"C10AA03,C10AA,C10A,C10,C,Drug;C10BA11,C10BA,C10B,C10,C,Drug;C10BA03,C10BA,C10B,C10,C,Drug;C10BA12,C10BA,C10B,C10,C,Drug;C10BX02,C10BX,C10B,C10,C,Drug",CHEMBL1144
165,DB00176,"N06AB08,N06AB,N06A,N06,N,Drug",CHEMBL814
166,DB00177,"C09DX05,C09DX,C09D,C09,C,Drug;C10BX10,C10BX,C10B,C10,C,Drug;C09DA03,C09DA,C09D,C09,C,Drug;C09CA03,C09CA,C09C,C09,C,Drug;C09DX02,C09DX,C09D,C09,C,Drug;C09DX01,C09DX,C09D,C09,C,Drug;C09DB08,C09DB,C09D,C09,C,Drug;C09DB01,C09DB,C09D,C09,C,Drug;C09DX04,C09DX,C09D,C09,C,Drug",CHEMBL1069
167,DB00178,"C09BX03,C09BX,C09B,C09,C,Drug;C10BX04,C10BX,C10B,C10,C,Drug;C09BB05,C09BB,C09B,C09,C,Drug;C09AA05,C09AA,C09A,C09,C,Drug;C10BX18,C10BX,C10B,C10,C,Drug;C10BX17,C10BX,C10B,C10,C,Drug;C09BB07,C09BB,C09B,C09,C,Drug;C09BX05,C09BX,C09B,C09,C,Drug;C10BX06,C10BX,C10B,C10,C,Drug;C09BA05,C09BA,C09B,C09,C,Drug",CHEMBL1168
168,DB00179,"L01XX10,L01XX,L01X,L01,L,Drug",CHEMBL313972
169,DB00180,"R01AD04,R01AD,R01A,R01,R,Drug;R03BA03,R03BA,R03B,R03,R,Drug",CHEMBL1512
170,DB00181,"M03BX01,M03BX,M03B,M03,M,Drug",CHEMBL701
171,DB00182,"N06BA01,N06BA,N06B,N06,N,Drug",CHEMBL405
172,DB00183,"V04CG04,V04CG,V04C,V04,V,Drug",CHEMBL1328
173,DB00184,"N07BA01,N07BA,N07B,N07,N,Drug",CHEMBL3
174,DB00185,"N07AX03,N07AX,N07A,N07,N,Drug",
175,DB00186,"N05BA56,N05BA,N05B,N05,N,Drug;N05BA06,N05BA,N05B,N05,N,Drug",CHEMBL580
176,DB00187,"C07AB09,C07AB,C07A,C07,C,Drug",CHEMBL768
177,DB00188,"L01XG01,L01XG,L01X,L01,L,Drug",CHEMBL325041
178,DB00189,"N05CM08,N05CM,N05C,N05,N,Drug",CHEMBL591
179,DB00190,Drug,CHEMBL1201236
180,DB00191,"A08AA01,A08AA,A08A,A08,A,Drug",CHEMBL1574
181,DB00192,Drug,CHEMBL1201242
182,DB00193,"N02AJ16,N02AJ,N02A,N02,N,Drug;N02AJ13,N02AJ,N02A,N02,N,Drug;N02AJ14,N02AJ,N02A,N02,N,Drug;N02AX02,N02AX,N02A,N02,N,Drug",CHEMBL1237044
183,DB00194,"J05AB03,J05AB,J05A,J05,J,Drug;S01AD06,S01AD,S01A,S01,S,Drug",CHEMBL1090
184,DB00195,"S01ED02,S01ED,S01E,S01,S,Drug;C07AB05,C07AB,C07A,C07,C,Drug;S01ED52,S01ED,S01E,S01,S,Drug",CHEMBL423
185,DB00196,"J01RA07,J01RA,J01R,J01,J,Drug;J02AC01,J02AC,J02A,J02,J,Drug;D01AC15,D01AC,D01A,D01,D,Drug",CHEMBL106
186,DB00197,"A10BG01,A10BG,A10B,A10,A,Drug",CHEMBL408
187,DB00198,"J05AH02,J05AH,J05A,J05,J,Drug",CHEMBL1229
188,DB00199,"J01FA01,J01FA,J01F,J01,J,Drug;D10AF02,D10AF,D10A,D10,D,Drug;S01AA17,S01AA,S01A,S01,S,Drug;D10AF52,D10AF,D10A,D10,D,Drug",CHEMBL532
189,DB00200,"B03BA53,B03BA,B03B,B03,B,Drug;V03AB33,V03AB,V03A,V03,V,Drug;B03BA03,B03BA,B03B,B03,B,Drug",CHEMBL2103737
190,DB00201,"D11AX26,D11AX,D11A,D11,D,Drug;R03DA20,R03DA,R03D,R03,R,Drug;V04CG30,V04CG,V04C,V04,V,Drug;N06BC01,N06BC,N06B,N06,N,Drug",CHEMBL113
191,DB00202,"M03AB01,M03AB,M03A,M03,M,Drug",CHEMBL703
192,DB00203,"G01AE10,G01AE,G01A,G01,G,Drug;G04BE03,G04BE,G04B,G04,G,Drug",CHEMBL192
193,DB00204,"C01BD04,C01BD,C01B,C01,C,Drug",CHEMBL473
194,DB00205,"P01BF09,P01BF,P01B,P01,P,Drug;P01BD01,P01BD,P01B,P01,P,Drug;P01BD51,P01BD,P01B,P01,P,Drug;P01BF04,P01BF,P01B,P01,P,Drug",CHEMBL36
195,DB00206,"C02LA51,C02LA,C02L,C02,C,Drug;C02AA02,C02AA,C02A,C02,C,Drug;C02LA01,C02LA,C02L,C02,C,Drug;C02LA71,C02LA,C02L,C02,C,Drug;C02AA52,C02AA,C02A,C02,C,Drug",CHEMBL772
196,DB00207,"J01RA07,J01RA,J01R,J01,J,Drug;S01AA26,S01AA,S01A,S01,S,Drug;J01FA10,J01FA,J01F,J01,J,Drug",CHEMBL529
197,DB00208,"B01AC05,B01AC,B01A,B01,B,Drug",CHEMBL833
198,DB00209,"A03DA06,A03DA,A03D,A03,A,Drug;G04BD09,G04BD,G04B,G04,G,Drug",CHEMBL1888176
199,DB00210,"D10AD03,D10AD,D10A,D10,D,Drug;D10AD53,D10AD,D10A,D10,D,Drug",CHEMBL1265
200,DB00211,"C01CA17,C01CA,C01C,C01,C,Drug",CHEMBL1201212
201,DB00212,"C09XA01,C09XA,C09X,C09,C,Drug",CHEMBL31601
202,DB00213,"A02BD04,A02BD,A02B,A02,A,Drug;A02BD11,A02BD,A02B,A02,A,Drug;A02BC02,A02BC,A02B,A02,A,Drug",CHEMBL1502
203,DB00214,"C03CA04,C03CA,C03C,C03,C,Drug;G01AE10,G01AE,G01A,G01,G,Drug",CHEMBL1148
204,DB00215,"N06AB04,N06AB,N06A,N06,N,Drug",CHEMBL549
205,DB00216,"N02CC06,N02CC,N02C,N02,N,Drug",CHEMBL1510
206,DB00217,"C02CC01,C02CC,C02C,C02,C,Drug",CHEMBL1201260
207,DB00218,"S01AE07,S01AE,S01A,S01,S,Drug;J01MA14,J01MA,J01M,J01,J,Drug",CHEMBL32
208,DB00219,"A03AB53,A03AB,A03A,A03,A,Drug;A03AB03,A03AB,A03A,A03,A,Drug",CHEMBL1201286
209,DB00220,"J05AE04,J05AE,J05A,J05,J,Drug",CHEMBL584
210,DB00221,Drug,CHEMBL1201213
211,DB00222,"A10BD04,A10BD,A10B,A10,A,Drug;A10BB12,A10BB,A10B,A10,A,Drug;A10BD06,A10BD,A10B,A10,A,Drug",CHEMBL1481
212,DB00223,"D07AC10,D07AC,D07A,D07,D,Drug",CHEMBL1201380
213,DB00224,"J05AE02,J05AE,J05A,J05,J,Drug",CHEMBL115
214,DB00225,"V08CA03,V08CA,V08C,V08,V,Drug",
215,DB00226,Drug,CHEMBL1037
216,DB00227,"C10AA02,C10AA,C10A,C10,C,Drug;C10BA01,C10BA,C10B,C10,C,Drug",CHEMBL503
217,DB00228,"N01AB04,N01AB,N01A,N01,N,Drug",CHEMBL1257
218,DB00229,"J01DC07,J01DC,J01D,J01,J,Drug",CHEMBL1296
219,DB00230,"N03AX16,N03AX,N03A,N03,N,Drug",CHEMBL1059
220,DB00231,"N05CD07,N05CD,N05C,N05,N,Drug",CHEMBL967
221,DB00232,"C03AA08,C03AA,C03A,C03,C,Drug;C03AB08,C03AB,C03A,C03,C,Drug",CHEMBL1577
222,DB00233,"J04AA02,J04AA,J04A,J04,J,Drug;J04AA03,J04AA,J04A,J04,J,Drug;J04AA01,J04AA,J04A,J04,J,Drug",CHEMBL1169
223,DB00234,"N06AX18,N06AX,N06A,N06,N,Drug",CHEMBL383921
224,DB00235,"C01CE02,C01CE,C01C,C01,C,Drug",CHEMBL189
225,DB00236,"L01AX02,L01AX,L01A,L01,L,Drug",CHEMBL1585
226,DB00237,"N05CB01,N05CB,N05C,N05,N,Drug",CHEMBL449
227,DB00238,"J05AG01,J05AG,J05A,J05,J,Drug;J05AR05,J05AR,J05A,J05,J,Drug;J05AR07,J05AR,J05A,J05,J,Drug",CHEMBL57
228,DB00239,"D01AC11,D01AC,D01A,D01,D,Drug;G01AF17,G01AF,G01A,G01,G,Drug;G01AF20,G01AF,G01A,G01,G,Drug",CHEMBL1262
229,DB00240,"D07AB10,D07AB,D07A,D07,D,Drug;S01BA10,S01BA,S01B,S01,S,Drug",CHEMBL1201361
230,DB00241,"N05CB01,N05CB,N05C,N05,N,Drug",CHEMBL454
231,DB00242,"L04AA40,L04AA,L04A,L04,L,Drug;L01BB04,L01BB,L01B,L01,L,Drug",CHEMBL1619
232,DB00243,"C01EB18,C01EB,C01E,C01,C,Drug",CHEMBL1404
233,DB00244,"A07EC02,A07EC,A07E,A07,A,Drug",CHEMBL704
234,DB00245,"N04AC01,N04AC,N04A,N04,N,Drug",CHEMBL1201203
235,DB00246,"N05AE04,N05AE,N05A,N05,N,Drug",CHEMBL708
236,DB00247,"N02CA04,N02CA,N02C,N02,N,Drug",CHEMBL485253
237,DB00248,"N04BC06,N04BC,N04B,N04,N,Drug;G02CB03,G02CB,G02C,G02,G,Drug",CHEMBL1201087
238,DB00249,"D06BB01,D06BB,D06B,D06,D,Drug;J05AB02,J05AB,J05A,J05,J,Drug;S01AD01,S01AD,S01A,S01,S,Drug",CHEMBL788
239,DB00250,"D10AX05,D10AX,D10A,D10,D,Drug;J04BA02,J04BA,J04B,J04,J,Drug",CHEMBL1043
240,DB00251,"G01AG02,G01AG,G01A,G01,G,Drug",CHEMBL1410669
241,DB00252,"N03AB02,N03AB,N03A,N03,N,Drug;N03AB52,N03AB,N03A,N03,N,Drug",CHEMBL16
242,DB00253,"S01BA08,S01BA,S01B,S01,S,Drug",CHEMBL1201173
243,DB00254,"J01AA02,J01AA,J01A,J01,J,Drug;A01AB22,A01AB,A01A,A01,A,Drug;J01AA20,J01AA,J01A,J01,J,Drug",CHEMBL1433
244,DB00255,"L02AA04,L02AA,L02A,L02,L,Drug;L02AA01,L02AA,L02A,L02,L,Drug;G03CC05,G03CC,G03C,G03,G,Drug;G03CB02,G03CB,G03C,G03,G,Drug",CHEMBL411
245,DB00256,"J01AA04,J01AA,J01A,J01,J,Drug;J01AA20,J01AA,J01A,J01,J,Drug",CHEMBL2103929
246,DB00257,"D01AC01,D01AC,D01A,D01,D,Drug;A01AB18,A01AB,A01A,A01,A,Drug;G01AF02,G01AF,G01A,G01,G,Drug;G01AF20,G01AF,G01A,G01,G,Drug",CHEMBL104
247,DB00258,"V03AE04,V03AE,V03A,V03,V,Drug;A11GB01,A11GB,A11G,A11,A,Drug;V03AE07,V03AE,V03A,V03,V,Drug",CHEMBL1200800
248,DB00259,"G01AE10,G01AE,G01A,G01,G,Drug;J01EB06,J01EB,J01E,J01,J,Drug;D06BA05,D06BA,D06B,D06,D,Drug",CHEMBL21
249,DB00260,"J04AB01,J04AB,J04A,J04,J,Drug",CHEMBL771
250,DB00261,"L01XX35,L01XX,L01X,L01,L,Drug",CHEMBL760
251,DB00262,"L01AD01,L01AD,L01A,L01,L,Drug",CHEMBL513
252,DB00263,"J01EB05,J01EB,J01E,J01,J,Drug;G01AE10,G01AE,G01A,G01,G,Drug;S01AB02,S01AB,S01A,S01,S,Drug",CHEMBL453
253,DB00264,"C07FB02,C07FB,C07F,C07,C,Drug;C07FX05,C07FX,C07F,C07,C,Drug;C07FX03,C07FX,C07F,C07,C,Drug;C07FB13,C07FB,C07F,C07,C,Drug;C07AB02,C07AB,C07A,C07,C,Drug;C07BB52,C07BB,C07B,C07,C,Drug;C07CB02,C07CB,C07C,C07,C,Drug;C07BB02,C07BB,C07B,C07,C,Drug",CHEMBL13
254,DB00265,Drug,CHEMBL1200709
255,DB00266,"B01AA01,B01AA,B01A,B01,B,Drug",CHEMBL1466
256,DB00267,"J01DD05,J01DD,J01D,J01,J,Drug",CHEMBL1201224
257,DB00268,"N04BC04,N04BC,N04B,N04,N,Drug",CHEMBL589
258,DB00269,"G03CA06,G03CA,G03C,G03,G,Drug",CHEMBL1200761
259,DB00270,"C08CA03,C08CA,C08C,C08,C,Drug",CHEMBL1648
260,DB00271,"V08AA01,V08AA,V08A,V08,V,Drug",CHEMBL1201220
261,DB00272,"V04CG02,V04CG,V04C,V04,V,Drug",CHEMBL1201323
262,DB00273,"N03AX11,N03AX,N03A,N03,N,Drug",CHEMBL220492
263,DB00274,"J01DC09,J01DC,J01D,J01,J,Drug",CHEMBL1201195
264,DB00275,"C09DA08,C09DA,C09D,C09,C,Drug;C09DX03,C09DX,C09D,C09,C,Drug;C09CA08,C09CA,C09C,C09,C,Drug;C09DB02,C09DB,C09D,C09,C,Drug",CHEMBL1516
265,DB00276,"L01XX01,L01XX,L01X,L01,L,Drug",CHEMBL43
266,DB00277,"R03DA54,R03DA,R03D,R03,R,Drug;R03DA74,R03DA,R03D,R03,R,Drug;R03DA20,R03DA,R03D,R03,R,Drug;R03DA04,R03DA,R03D,R03,R,Drug;R03DB04,R03DB,R03D,R03,R,Drug",CHEMBL190
267,DB00278,"B01AE03,B01AE,B01A,B01,B,Drug",CHEMBL1166
268,DB00279,"H03AA03,H03AA,H03A,H03,H,Drug;H03AA02,H03AA,H03A,H03,H,Drug",CHEMBL1544
269,DB00280,"C01BA03,C01BA,C01B,C01,C,Drug",CHEMBL517
270,DB00281,"S01HA07,S01HA,S01H,S01,S,Drug;D04AB01,D04AB,D04A,D04,D,Drug;R02AD02,R02AD,R02A,R02,R,Drug;C01BB01,C01BB,C01B,C01,C,Drug;S02DA01,S02DA,S02D,S02,S,Drug;N01BB52,N01BB,N01B,N01,N,Drug;C05AD01,C05AD,C05A,C05,C,Drug;N01BB02,N01BB,N01B,N01,N,Drug",CHEMBL79
