,dbID,atcClassification,id
12969,DB15034,Drug,
12970,DB15035,"L01EL03,L01EL,L01E,L01,L,Drug",CHEMBL3936761
12971,DB15036,Drug,CHEMBL3989926
12972,DB15037,Drug,
12973,DB15038,Drug,CHEMBL471036
12974,DB15039,Drug,CHEMBL3769414
12975,DB15040,Drug,CHEMBL2057236
12976,DB15041,Drug,
12977,DB15042,Drug,
12978,DB15043,Drug,
12979,DB15044,"L01FX12,L01FX,L01F,L01,L,Drug",
12980,DB15045,Drug,
12981,DB15046,Drug,CHEMBL3915620
12982,DB15047,Drug,CHEMBL4094440
12983,DB15048,Drug,
12984,DB15049,Drug,CHEMBL3185084
12985,DB15050,Drug,
12986,DB15051,Drug,CHEMBL2035460
12987,DB15052,Drug,
12988,DB15053,Drug,
12989,DB15054,Drug,
12990,DB15055,Drug,CHEMBL3590674
12991,DB15056,Drug,CHEMBL2227975
12992,DB15057,Drug,CHEMBL3126004
12993,DB15058,Drug,CHEMBL579205
12994,DB15059,Drug,CHEMBL2165326
12995,DB15061,Drug,
12996,DB15062,Drug,CHEMBL1084430
12997,DB15063,Drug,CHEMBL1076930
12998,DB15064,Drug,
12999,DB15065,Drug,CHEMBL2381848
13000,DB15066,"A16AX16,A16AX,A16A,A16,A,Drug",
13001,DB15067,"C10AX18,C10AX,C10A,C10,C,Drug",
13002,DB15068,Drug,CHEMBL2029988
13003,DB15069,Drug,
13004,DB15070,Drug,
13005,DB15071,"G01AE10,G01AE,G01A,G01,G,Drug",CHEMBL4297666
13006,DB15072,"A10BJ07,A10BJ,A10B,A10,A,Drug",
13007,DB15073,Drug,
13008,DB15074,Drug,
13009,DB15075,Drug,
13010,DB15076,Drug,
13011,DB15077,Drug,
13012,DB15078,Drug,CHEMBL3963485
13013,DB15079,Drug,
13014,DB15080,Drug,CHEMBL2220482
13015,DB15081,Drug,
13016,DB15082,Drug,
13017,DB15083,Drug,
13018,DB15084,Drug,CHEMBL1652465
13019,DB15085,Drug,
13020,DB15086,Drug,CHEMBL2105181
13021,DB15087,Drug,
13022,DB15088,Drug,
13023,DB15089,Drug,
13024,DB15090,"R03DX11,R03DX,R03D,R03,R,Drug",
13025,DB15091,"L04AA44,L04AA,L04A,L04,L,Drug",CHEMBL3622821
13026,DB15092,Drug,
13027,DB15093,"H01AC07,H01AC,H01A,H01,H,Drug",
13028,DB15094,Drug,
13029,DB15095,Drug,
13030,DB15096,Drug,
13031,DB15097,"R05DB29,R05DB,R05D,R05,R,Drug",CHEMBL3716057
13032,DB15098,Drug,CHEMBL3884248
13033,DB15099,Drug,CHEMBL1206161
13034,DB15100,Drug,
13035,DB15101,Drug,
13036,DB15102,"L01EN02,L01EN,L01E,L01,L,Drug",CHEMBL4297522
13037,DB15104,Drug,
13038,DB15105,Drug,CHEMBL3952064
13039,DB15106,Drug,
13040,DB15107,Drug,CHEMBL1908940
13041,DB15108,Drug,CHEMBL445699
13042,DB15109,Drug,CHEMBL3989918
13043,DB15110,Drug,CHEMBL1738758
13044,DB15111,Drug,CHEMBL4297336
