node	type
UMLS:C1848207	disease
UMLS:C3665347	disease
UMLS:C2243051	disease
UMLS:C0019196	disease
UMLS:C4016274	disease
UMLS:C0027066	disease
UMLS:C0002103	disease
UMLS:C4748162	disease
UMLS:C0349506	disease
UMLS:C0019202	disease
UMLS:C0027746	disease
UMLS:C0020192	disease
UMLS:C4015235	disease
UMLS:C4021808	disease
UMLS:C0240635	disease
UMLS:C0153461	disease
UMLS:C0041671	disease
UMLS:C4049796	disease
UMLS:C3553944	disease
UMLS:C0151905	disease
UMLS:C1865019	disease
UMLS:C1869117	disease
UMLS:C0157916	disease
UMLS:C0600467	disease
UMLS:C4540358	disease
UMLS:C1275278	disease
UMLS:C0018378	disease
UMLS:C1843807	disease
UMLS:C0266463	disease
UMLS:C2317073	disease
UMLS:C1708371	disease
UMLS:C0153422	disease
UMLS:C0002940	disease
UMLS:C0022716	disease
UMLS:C0006118	disease
UMLS:C0009404	disease
UMLS:C1859773	disease
UMLS:C1832978	disease
UMLS:C1415817	disease
UMLS:C2348199	disease
UMLS:C0158651	disease
UMLS:C0241910	disease
UMLS:C5681780	disease
UMLS:C0037268	disease
UMLS:C0009806	disease
UMLS:C4310722	disease
UMLS:C1112486	disease
UMLS:C1963943	disease
UMLS:C0015696	disease
UMLS:C0029493	disease
UMLS:C4551774	disease
UMLS:C3280785	disease
UMLS:C1863732	disease
UMLS:C4551509	disease
UMLS:C5567608	disease
UMLS:C1836383	disease
UMLS:C0022738	disease
UMLS:C0037315	disease
UMLS:C1855903	disease
UMLS:C0019050	disease
UMLS:C1541923	disease
UMLS:C5681644	disease
UMLS:C0031069	disease
UMLS:C0011881	disease
UMLS:C5681167	disease
UMLS:C0859976	disease
UMLS:C0007124	disease
UMLS:C1835807	disease
UMLS:C3551915	disease
UMLS:C0432195	disease
UMLS:C0239842	disease
UMLS:C0023493	disease
UMLS:C0020437	disease
UMLS:C0034935	disease
UMLS:C1968602	disease
UMLS:C1843884	disease
UMLS:C0268616	disease
UMLS:C0338715	disease
UMLS:C4310704	disease
UMLS:C2875300	disease
UMLS:C4053775	disease
UMLS:C0428977	disease
UMLS:C3553859	disease
UMLS:C2931574	disease
UMLS:C1854449	disease
UMLS:C0018799	disease
UMLS:C5235141	disease
UMLS:C0011269	disease
UMLS:C0342749	disease
UMLS:C5679924	disease
UMLS:C5190706	disease
UMLS:C0014013	disease
UMLS:C2751898	disease
UMLS:C0270458	disease
UMLS:C4021768	disease
UMLS:C4722277	disease
UMLS:C0268393	disease
UMLS:C0175702	disease
UMLS:C5680191	disease
UMLS:C1959582	disease
UMLS:C0149925	disease
UMLS:C1836806	disease
UMLS:C0023892	disease
UMLS:C0236038	disease
UMLS:C0264885	disease
UMLS:C0008928	disease
UMLS:C0042580	disease
UMLS:C0862030	disease
UMLS:C0079772	disease
UMLS:C0020542	disease
UMLS:C3714534	disease
UMLS:C0265226	disease
UMLS:C0013182	disease
UMLS:C3554607	disease
UMLS:C0375489	disease
UMLS:C4016256	disease
UMLS:C0027708	disease
UMLS:C1332355	disease
UMLS:C4551501	disease
UMLS:C4518356	disease
UMLS:C0027697	disease
UMLS:C0031485	disease
UMLS:C4015729	disease
UMLS:C4277690	disease
UMLS:C0027709	disease
UMLS:C0000889	disease
UMLS:C0151904	disease
UMLS:C0265264	disease
UMLS:C0751688	disease
UMLS:C3887876	disease
UMLS:C4749272	disease
UMLS:C0020877	disease
UMLS:C5829889	disease
UMLS:C0158451	disease
UMLS:C0398765	disease
UMLS:C0016788	disease
UMLS:C4551966	disease
UMLS:C0752332	disease
UMLS:C1861355	disease
UMLS:C4025298	disease
UMLS:C4707848	disease
UMLS:C0042510	disease
UMLS:C4024853	disease
UMLS:C0154409	disease
UMLS:C3806482	disease
UMLS:C2675659	disease
UMLS:C1848702	disease
UMLS:C1142166	disease
UMLS:C0220743	disease
UMLS:C4512055	disease
UMLS:C0003504	disease
UMLS:C0029131	disease
UMLS:C0023481	disease
UMLS:C0007103	disease
UMLS:C1832662	disease
UMLS:C0009421	disease
UMLS:C0019693	disease
UMLS:C0392550	disease
UMLS:C0162534	disease
UMLS:C0015398	disease
UMLS:C0151699	disease
UMLS:C4016457	disease
UMLS:C4551474	disease
UMLS:C0010068	disease
UMLS:C1843156	disease
UMLS:C0750935	disease
UMLS:C5779549	disease
UMLS:C0271694	disease
UMLS:C0264789	disease
UMLS:C0919532	disease
UMLS:C0752127	disease
UMLS:C0153423	disease
UMLS:C1857586	disease
UMLS:C4477100	disease
UMLS:C5394226	disease
UMLS:C1834153	disease
UMLS:C4013560	disease
UMLS:C0002020	disease
UMLS:C5679613	disease
UMLS:C0020538	disease
UMLS:C0013261	disease
UMLS:C0036337	disease
UMLS:C2751826	disease
UMLS:C0023795	disease
UMLS:C3554224	disease
UMLS:C5830299	disease
UMLS:C5680182	disease
UMLS:C4749947	disease
UMLS:C4225351	disease
UMLS:C0038506	disease
UMLS:C0282207	disease
UMLS:C0431363	disease
UMLS:C0027765	disease
UMLS:C4540327	disease
UMLS:C1860339	disease
UMLS:C0221043	disease
UMLS:C4025739	disease
UMLS:C5568802	disease
UMLS:C2677650	disease
UMLS:C0206157	disease
UMLS:C0341106	disease
UMLS:C5681601	disease
UMLS:C0854893	disease
UMLS:C4225383	disease
UMLS:C4707333	disease
UMLS:C0751830	disease
UMLS:C2750824	disease
UMLS:C0796070	disease
UMLS:C0221026	disease
UMLS:C1704417	disease
UMLS:C0178324	disease
UMLS:C0007781	disease
UMLS:C1857640	disease
UMLS:C4225227	disease
UMLS:C1836150	disease
UMLS:C0152013	disease
UMLS:C2750413	disease
UMLS:C4024965	disease
UMLS:C0007131	disease
UMLS:C3553843	disease
UMLS:C4310778	disease
UMLS:C4750837	disease
UMLS:C1112530	disease
UMLS:C1335473	disease
UMLS:C0520863	disease
UMLS:C3640024	disease
UMLS:C0265333	disease
UMLS:C2931004	disease
UMLS:C0029171	disease
UMLS:C0265747	disease
UMLS:C1851286	disease
UMLS:C3809483	disease
UMLS:C0741796	disease
UMLS:C1833590	disease
UMLS:C0035328	disease
UMLS:C3151519	disease
UMLS:C1849265	disease
UMLS:C0334287	disease
UMLS:C0410528	disease
UMLS:C5433293	disease
UMLS:C0887850	disease
UMLS:C4551972	disease
UMLS:C0031046	disease
UMLS:C1955870	disease
UMLS:C5561963	disease
UMLS:C0339541	disease
UMLS:C4721891	disease
UMLS:C0017605	disease
UMLS:C1853371	disease
UMLS:C0022797	disease
UMLS:C0001621	disease
UMLS:C0266484	disease
UMLS:C0012243	disease
UMLS:C2239176	disease
UMLS:C3279550	disease
UMLS:C0206138	disease
UMLS:C1861862	disease
UMLS:C0022660	disease
UMLS:C0431399	disease
UMLS:C3808971	disease
UMLS:C1868114	disease
UMLS:C0796154	disease
UMLS:C0009691	disease
UMLS:C3549845	disease
UMLS:C0029707	disease
UMLS:C0009782	disease
UMLS:C4551649	disease
UMLS:C0002895	disease
UMLS:C5681803	disease
UMLS:C2751324	disease
UMLS:C0432357	disease
UMLS:C0546264	disease
UMLS:C0001308	disease
UMLS:C0013264	disease
UMLS:C0241932	disease
UMLS:C0155773	disease
UMLS:C0078918	disease
UMLS:C1835814	disease
UMLS:C0036349	disease
UMLS:C1334655	disease
UMLS:C4225183	disease
UMLS:C1262477	disease
UMLS:C4748785	disease
UMLS:C0339537	disease
UMLS:C0010324	disease
UMLS:C0029227	disease
UMLS:C5231513	disease
UMLS:C0037763	disease
UMLS:C3277074	disease
UMLS:C2677565	disease
UMLS:C4693899	disease
UMLS:C4022990	disease
UMLS:C0338831	disease
UMLS:C0013595	disease
UMLS:C4013699	disease
UMLS:C0596263	disease
UMLS:C1276035	disease
UMLS:C0086664	disease
UMLS:C0033774	disease
UMLS:C1862939	disease
UMLS:C4022458	disease
UMLS:C0751157	disease
UMLS:C0038013	disease
UMLS:C0026764	disease
UMLS:C0017919	disease
UMLS:C0085633	disease
UMLS:C0043345	disease
UMLS:C0340643	disease
UMLS:C0029866	disease
UMLS:C0271582	disease
UMLS:C1707291	disease
UMLS:C0239946	disease
UMLS:C0151313	disease
UMLS:C0243057	disease
UMLS:C0022593	disease
UMLS:C5197805	disease
UMLS:C0270853	disease
UMLS:C0678807	disease
UMLS:C5436685	disease
UMLS:C0585362	disease
UMLS:C0024449	disease
UMLS:C0265004	disease
UMLS:C0024305	disease
UMLS:C0027868	disease
UMLS:C0338488	disease
UMLS:C2237142	disease
UMLS:C1136209	disease
UMLS:C2930967	disease
UMLS:C0037772	disease
UMLS:C0041834	disease
UMLS:C0011053	disease
UMLS:C5703292	disease
UMLS:C0026351	disease
UMLS:C0334389	disease
UMLS:C0018781	disease
UMLS:C0008489	disease
UMLS:C0007001	disease
UMLS:C0270611	disease
UMLS:C0399372	disease
UMLS:C2677794	disease
UMLS:C0042974	disease
UMLS:C0853897	disease
UMLS:C0279680	disease
UMLS:C0034012	disease
UMLS:C0020443	disease
UMLS:C0018843	disease
UMLS:C1408174	disease
UMLS:C1854260	disease
UMLS:C0013604	disease
UMLS:C0037317	disease
UMLS:C0035078	disease
UMLS:C0035309	disease
UMLS:C4023408	disease
UMLS:C0023891	disease
UMLS:C3151037	disease
UMLS:C0013502	disease
UMLS:C3501848	disease
UMLS:C0006663	disease
UMLS:C0241868	disease
UMLS:C3809781	disease
UMLS:C5676978	disease
UMLS:C0042842	disease
UMLS:C0334121	disease
UMLS:C0023860	disease
UMLS:C5569081	disease
UMLS:C1849348	disease
UMLS:C0302592	disease
UMLS:C1858050	disease
UMLS:C0024314	disease
UMLS:C0520806	disease
UMLS:C1837260	disease
UMLS:C0020623	disease
UMLS:C0162635	disease
UMLS:C1842870	disease
UMLS:C0410422	disease
UMLS:C4225238	disease
UMLS:C2910340	disease
UMLS:C4693912	disease
UMLS:C4021727	disease
UMLS:C0033805	disease
UMLS:C0085580	disease
UMLS:C3280783	disease
UMLS:C4551825	disease
UMLS:C0006868	disease
UMLS:C2931135	disease
UMLS:C1854988	disease
UMLS:C0153458	disease
UMLS:C0029124	disease
UMLS:C0035258	disease
UMLS:C0206710	disease
UMLS:C0154909	disease
UMLS:C4015080	disease
UMLS:C0423112	disease
UMLS:C1332219	disease
UMLS:C0796204	disease
UMLS:C0153414	disease
UMLS:C0023449	disease
UMLS:C0423250	disease
UMLS:C0400966	disease
UMLS:C0025281	disease
UMLS:C0018203	disease
UMLS:C0338585	disease
UMLS:C0012242	disease
UMLS:C0006267	disease
UMLS:C1850343	disease
UMLS:C0878683	disease
UMLS:C5543406	disease
UMLS:C1843386	disease
UMLS:C0270912	disease
UMLS:C0268318	disease
UMLS:C0003578	disease
UMLS:C0023467	disease
UMLS:C4021790	disease
UMLS:C1837249	disease
UMLS:C1861689	disease
UMLS:C0243026	disease
UMLS:C0035353	disease
UMLS:C2750481	disease
UMLS:C0086543	disease
UMLS:C0342381	disease
UMLS:C4021745	disease
UMLS:C0339526	disease
UMLS:C0028960	disease
UMLS:C0001126	disease
UMLS:C0026269	disease
UMLS:C2675722	disease
UMLS:C1565662	disease
UMLS:C4016716	disease
UMLS:C0007222	disease
UMLS:C0003486	disease
UMLS:C0035235	disease
UMLS:C3896578	disease
UMLS:C5554234	disease
UMLS:C3554355	disease
UMLS:C1334698	disease
UMLS:C0086439	disease
UMLS:C1861848	disease
UMLS:C1306122	disease
UMLS:C0036857	disease
UMLS:C3890737	disease
UMLS:C0340804	disease
UMLS:C4014578	disease
UMLS:C1867439	disease
UMLS:C0029882	disease
UMLS:C4748152	disease
UMLS:C0019151	disease
UMLS:C4014528	disease
UMLS:C1836906	disease
UMLS:C0008372	disease
UMLS:C0162834	disease
UMLS:C0574080	disease
UMLS:C1852372	disease
UMLS:C5774232	disease
UMLS:C3809665	disease
UMLS:C2931121	disease
UMLS:C1864900	disease
UMLS:C2750078	disease
UMLS:C0158646	disease
UMLS:C2931500	disease
UMLS:C0019034	disease
UMLS:C1855553	disease
UMLS:C0002452	disease
UMLS:C3280527	disease
UMLS:C1838703	disease
UMLS:C0151889	disease
UMLS:C0007766	disease
UMLS:C0478085	disease
UMLS:C0265561	disease
UMLS:C1832425	disease
UMLS:C0079744	disease
UMLS:C0013336	disease
UMLS:C0265338	disease
UMLS:C1864818	disease
UMLS:C4016375	disease
UMLS:C4304725	disease
UMLS:C0007273	disease
UMLS:C0345967	disease
UMLS:C2751492	disease
UMLS:C0007112	disease
UMLS:C0015393	disease
UMLS:C1847319	disease
UMLS:C3808145	disease
UMLS:C4510367	disease
UMLS:C0033687	disease
UMLS:C0236792	disease
UMLS:C0341698	disease
UMLS:C4510744	disease
UMLS:C3837967	disease
UMLS:C0027080	disease
UMLS:C1848552	disease
UMLS:C0339143	disease
UMLS:C0037221	disease
UMLS:C0007137	disease
UMLS:C1859778	disease
UMLS:C0280725	disease
UMLS:C3280795	disease
UMLS:C0153567	disease
UMLS:C1865866	disease
UMLS:C0079924	disease
UMLS:C4024202	disease
UMLS:C3808494	disease
UMLS:C0242596	disease
UMLS:C4023814	disease
UMLS:C0494475	disease
UMLS:C0426870	disease
UMLS:C0025958	disease
UMLS:C0917796	disease
UMLS:C0087012	disease
UMLS:C0007398	disease
UMLS:C1834750	disease
UMLS:C0234629	disease
UMLS:C0003872	disease
UMLS:C4025276	disease
UMLS:C0012736	disease
UMLS:C4014294	disease
UMLS:C3279092	disease
UMLS:C4273660	disease
UMLS:C1879526	disease
UMLS:C0752282	disease
UMLS:C0029595	disease
UMLS:C0260662	disease
UMLS:C0019209	disease
UMLS:C4016056	disease
UMLS:C0013069	disease
UMLS:C1836653	disease
UMLS:C0030305	disease
UMLS:C5830244	disease
UMLS:C0023895	disease
UMLS:C5444223	disease
UMLS:C0013421	disease
UMLS:C5436867	disease
UMLS:C5561925	disease
UMLS:C1859728	disease
UMLS:C3151303	disease
UMLS:C0079683	disease
UMLS:C4012727	disease
UMLS:C0345447	disease
UMLS:C0022387	disease
UMLS:C0750994	disease
UMLS:C0020514	disease
UMLS:C0022521	disease
UMLS:C5774266	disease
UMLS:C2981132	disease
UMLS:C1368683	disease
UMLS:C2931478	disease
UMLS:C4551332	disease
UMLS:C0029607	disease
UMLS:C0015456	disease
UMLS:C0024232	disease
UMLS:C0270496	disease
UMLS:C5231402	disease
UMLS:C1260899	disease
UMLS:C0162836	disease
UMLS:C4551506	disease
UMLS:C5548200	disease
UMLS:C0205713	disease
UMLS:C5676969	disease
UMLS:C1836447	disease
UMLS:C0268149	disease
UMLS:C3888239	disease
UMLS:C0002896	disease
UMLS:C0149519	disease
UMLS:C0020473	disease
UMLS:C3280215	disease
UMLS:C0002453	disease
UMLS:C0042487	disease
UMLS:C0432238	disease
UMLS:C0393541	disease
UMLS:C5436818	disease
UMLS:C2677180	disease
UMLS:C5680507	disease
UMLS:C0003126	disease
UMLS:C0079773	disease
UMLS:C0023283	disease
UMLS:C1857574	disease
UMLS:C0038220	disease
UMLS:C0022661	disease
UMLS:C0085215	disease
UMLS:C3827273	disease
UMLS:C1862382	disease
UMLS:C0431904	disease
UMLS:C0221356	disease
UMLS:C0155626	disease
UMLS:C0023470	disease
UMLS:C1851920	disease
UMLS:C1842534	disease
UMLS:C4025870	disease
UMLS:C0022548	disease
UMLS:C1970028	disease
UMLS:C0266548	disease
UMLS:C1835671	disease
UMLS:C0153460	disease
UMLS:C0003496	disease
UMLS:C4551602	disease
UMLS:C3553788	disease
UMLS:C0042165	disease
UMLS:C5676966	disease
UMLS:C5680510	disease
UMLS:C0021051	disease
UMLS:C0079583	disease
UMLS:C0015379	disease
UMLS:C0004238	disease
UMLS:C0878544	disease
UMLS:C0017563	disease
UMLS:C1720861	disease
UMLS:C2930970	disease
UMLS:C1837008	disease
UMLS:C2750509	disease
UMLS:C0949658	disease
UMLS:C1704375	disease
UMLS:C2931816	disease
UMLS:C0153491	disease
UMLS:C1846648	disease
UMLS:C1623209	disease
UMLS:C4021547	disease
UMLS:C0020523	disease
UMLS:C4551563	disease
UMLS:C1846719	disease
UMLS:C2752007	disease
UMLS:C1866423	disease
UMLS:C3697119	disease
UMLS:C0042900	disease
UMLS:C0023518	disease
UMLS:C0011875	disease
UMLS:C4551985	disease
UMLS:C0348617	disease
UMLS:C1864389	disease
UMLS:C4708599	disease
UMLS:C0272199	disease
UMLS:C0376407	disease
UMLS:C5551003	disease
UMLS:C1368871	disease
UMLS:C4545043	disease
UMLS:C0162529	disease
UMLS:C1869115	disease
UMLS:C0024408	disease
UMLS:C0752210	disease
UMLS:C1861922	disease
UMLS:C1273070	disease
UMLS:C3825727	disease
UMLS:C4290088	disease
UMLS:C0031900	disease
UMLS:C0265562	disease
UMLS:C0005411	disease
UMLS:C0019829	disease
UMLS:C5679956	disease
UMLS:C0575081	disease
UMLS:C4310815	disease
UMLS:C1879362	disease
UMLS:C1836727	disease
UMLS:C5774256	disease
UMLS:C1527338	disease
UMLS:C4551804	disease
UMLS:C0003467	disease
UMLS:C1836996	disease
UMLS:C0947622	disease
UMLS:C0023827	disease
UMLS:C0151744	disease
UMLS:C0265287	disease
UMLS:C4540040	disease
UMLS:C3888523	disease
UMLS:C4748694	disease
UMLS:C5436714	disease
UMLS:C3150956	disease
UMLS:C1861456	disease
UMLS:C2748055	disease
UMLS:C0004153	disease
UMLS:C5543243	disease
UMLS:C1843139	disease
UMLS:C5542154	disease
UMLS:C0030354	disease
UMLS:C3278923	disease
UMLS:C0014457	disease
UMLS:C0017531	disease
UMLS:C0009917	disease
UMLS:C1848954	disease
UMLS:C4016298	disease
UMLS:C0020507	disease
UMLS:C0271183	disease
UMLS:C0036330	disease
UMLS:C4281993	disease
UMLS:C0740457	disease
UMLS:C4747891	disease
UMLS:C1856892	disease
UMLS:C0349639	disease
UMLS:C0242339	disease
UMLS:C0043094	disease
UMLS:C1832931	disease
UMLS:C4317124	disease
UMLS:C2608079	disease
UMLS:C2932678	disease
UMLS:C0023530	disease
UMLS:C0154830	disease
UMLS:C4225360	disease
UMLS:C0037926	disease
UMLS:C0024530	disease
UMLS:C0024620	disease
UMLS:C0278878	disease
UMLS:C0472792	disease
UMLS:C3694279	disease
UMLS:C0155020	disease
UMLS:C0027947	disease
UMLS:C1852767	disease
UMLS:C4225303	disease
UMLS:C2746069	disease
UMLS:C0085110	disease
UMLS:C3266898	disease
UMLS:C0007138	disease
UMLS:C1856121	disease
UMLS:C5680348	disease
UMLS:C0266642	disease
UMLS:C3280030	disease
UMLS:C1853445	disease
UMLS:C0024141	disease
UMLS:C0751651	disease
UMLS:C0007099	disease
UMLS:C0034065	disease
UMLS:C0740340	disease
UMLS:C0221074	disease
UMLS:C0221358	disease
UMLS:C0751038	disease
UMLS:C1691215	disease
UMLS:C0085583	disease
UMLS:C5561940	disease
UMLS:C1843075	disease
UMLS:C0038454	disease
UMLS:C1332338	disease
UMLS:C5190707	disease
UMLS:C1853743	disease
UMLS:C0013384	disease
UMLS:C3805411	disease
UMLS:C0917804	disease
UMLS:C0021655	disease
UMLS:C0349788	disease
UMLS:C4021726	disease
UMLS:C0019372	disease
UMLS:C0036202	disease
UMLS:C0740394	disease
UMLS:C0014175	disease
UMLS:C0002878	disease
UMLS:C4757950	disease
UMLS:C4539919	disease
UMLS:C1866560	disease
UMLS:C0751815	disease
UMLS:C2751763	disease
UMLS:C1840235	disease
UMLS:C1861099	disease
UMLS:C0206655	disease
UMLS:C0011609	disease
UMLS:C0040997	disease
UMLS:C4225426	disease
UMLS:C0020456	disease
UMLS:C0036095	disease
UMLS:C0406723	disease
UMLS:C4310757	disease
UMLS:C0152455	disease
UMLS:C0003910	disease
UMLS:C0149721	disease
UMLS:C0020651	disease
UMLS:C1865926	disease
UMLS:C0265213	disease
UMLS:C0024437	disease
UMLS:C2981140	disease
UMLS:C0025517	disease
UMLS:C4225330	disease
UMLS:C1968843	disease
UMLS:C0433856	disease
UMLS:C0033860	disease
UMLS:C1838659	disease
UMLS:C3551954	disease
UMLS:C1840333	disease
UMLS:C4302671	disease
UMLS:C3888087	disease
UMLS:C2678484	disease
UMLS:C5774278	disease
UMLS:C0013423	disease
UMLS:C0024301	disease
UMLS:C0013581	disease
UMLS:C3275495	disease
UMLS:C5779546	disease
UMLS:C1335029	disease
UMLS:C3150899	disease
UMLS:C1842073	disease
UMLS:C0265101	disease
UMLS:C5830433	disease
